paper_id,title,size_bytes,sha256,canonical_sha256,abstract_chars,creator_count,section_count,paragraph_count,body_text_chars,figure_count,table_count,math_count,bibitem_count,quality_tier
01KT6MTBNXFCRPKAX7NCQJJMAN,Efficiently Scaling Transformer Inference,640200,e9f25f337e90251838c295f915e75493fd4ff376c5b315c477a79d8635115b30,f22c79e39e11c369ccf31d3c2f6a0931cb0056c1d4876dbd1c919aa77b661659,1292,10,8,132,53690,17,7,264,50,clean
01KT6MTBPD7C8B59W698Y2243K,Brainformers: Trading Simplicity for Efficiency,352926,62e2b9f14c12e06808a2e7c9e3cb3f3c97877cd328da89e846e595acf2e241cd,958fdf1e6bfe1607e6456adedd2cca0f6b9f6eaeea9ef6fc579dec20f65a16ac,1269,15,8,36,24686,11,5,78,49,clean
01KT6MTBQQGJBBE828G28W2MM4,Neural Machine Translation in Linear Time,223574,034a9b78bf00f6ba92483fa8812ad87aed46b74e4cc7ca13f1898dac98cf9080,ac2ca6d4e094947a6e66952be1e5e86b3db942fb5767d2f1ddcc3c6839971542,1389,8,7,40,22674,8,5,96,34,clean
01KT6MTBRNZB350XY072731RYC,CAMEL: Communicative Agents for “Mind” Exploration of Large Language Model Society https://www.camel-ai.org,1823090,b37d953b28321ae0e6211b45157dc3a85bfefad9110cf4e1672b5b66274f5e30,cd0a507a89df5d194316c089a4f6f7fb5041131802deb762bad0fa3f2837d026,1334,1,7,784,153700,21,9,118,137,clean
01KT6MTBSP894F94RMNM00D7X7,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,1396735,b140108a6a6cbf7235aa6e8eada197aabbcb2affd1ca1db473e8a0463fa12d90,b857844685ca41dab62e2b416721e054e1a3ca9b8c5f048c786989b9a0e11575,837,1,10,404,95066,11,30,250,86,clean
01KT6MTBTB0RJ9G46YHDWR3NWY,ChatDev: Communicative Agents for Software Development,389403,c31fe566b9d33d5c05976ecfb209a3b9526aa387193e677581b79fddf4daf73f,ec245ff68ed876e166331c2be75ccc5ad0f0f7e011037f7c197015d3661ea380,1279,1,7,41,30333,5,4,67,70,clean
01KT6MTBXNMN64AN7CQR4FJBBF,Classifier-Free Diffusion Guidance,977571,212405ab4df81ec803a785e2738d4b3f923d11188941ce5aa333bae210887dcc,2eaa3f87b653e5a3c8cd09956babd4eb5d603ff904ac1a7212524baa8a0550cc,1137,1,7,50,32352,14,2,277,23,clean
01KT6MTC09DRCTG18NZ70GYQWS,Learning Transferable Visual Models From Natural Language Supervision,838124,430aea4494e7078c0e3bb84aac165b1aab56c2390c89de76460f2adae2f27e2f,b8daf1ae0bd17f772e1fa31bfc6da843526ecaeb91045d493ec86c12615be474,1468,12,9,265,127436,23,17,60,211,clean
01KT6MTC12HHF78KWVRSDEC5G5,CodeRL: Mastering Code Generation through Pretrained Models and Deep Reinforcement Learning,1265768,e7e97f702959736d81283cc6d61ff9208ec1db2ee44f72deddb6b16f5c8dedbb,b4a2a9333b1d3d856c85b9afcbffb8821cd0840e192c9ab79cee68b56feb9a57,1607,1,7,117,61492,17,12,337,76,clean
01KT6MTC2TCKN1Q0QN48PNEV3Y,CogVLM: Visual Expert for Pretrained Language Models,481308,42a0256461ae3ca75042602df45dceb9714c9e479703270a6ec1b67f9c698a47,163287b55fca42e8b218e07ad75e7b9af0d1b043a9bc284167cfef3255db7071,894,17,4,85,34136,6,8,96,73,clean
01KT6MTC3ES9TEMS1YKEPYCAS3,LQER: Low-Rank Quantization Error Reconstruction for LLMs,846911,d254997b4c76967633a0a2ec0beeea706a1412961f065cab5ec8abe0e4414263,40c4f35c8efc4fdf21d9e313f7b5885ed10585bd64078f69c6e0fd30f12e83e8,993,4,6,70,36433,6,21,327,53,clean
01KT6MTC4FPXARN0ADXM6WNKKC,Getting ViT in Shape:Scaling Laws for Compute-Optimal Model Design,863903,46b2b83259cbfc53acef2d14b214be6c3e982be8e495d5d0517fd4a3722164fe,886593df35466389d371f4c7e9e69d8118dfb873f8269792fa8280afc79262d8,1044,1,8,377,41202,7,9,193,81,clean
01KT6MTC6R000CNRNT856QBPCQ,Consistency Models,8816895,7c50cfa566e924274e900ca13e5b8e5586cc256e7563f066f01699825c508b6c,4c885dce7d70604ea8634df44ce015d901f258a19f5906daa0fd11b217068194,1285,4,8,175,90541,91,2,1061,74,clean
01KT6MTC7QP9WKD6S8XDN55V2P,Constitutional AI: Harmlessness from AI Feedback,1123208,e2a288b70ca66e6fe34af1ddb26052f3d95ab5e98ef5d6a91d869d3e961dd3ea,c3568b442af9caf6c82e50b0644b11d199c8349db1518f72886edca104d8c9b0,1309,10,8,184,72736,12,0,84,26,clean
01KT6MTC8HVGWRJJW96RM4F055,"A Comprehensive Survey of Continual Learning: Theory, Method and Application",2233287,739d839a6758db4b58b730bc7c4fc45ea40fc864628e1f45779ca1b93e961ad5,fdd609b2be1a92bb96948beb6cbed3d9505059f6806d3d342cba6aa9a3558577,1546,1,9,156,113254,9,3,332,527,clean
01KT6MTCH75QYGDMEEJ14C4QR6,Hierarchical Text-ConditionalImage Generation with CLIP Latents,421464,fd69e0945ba0a68007b2e6be13c83744263eececf012f4f03172d13aa24c0fd8,2220016b3b67968a38a940a316e376c841f9e8cd98583f3d98877bf91f8ace22,1028,1,8,76,36848,26,3,132,63,clean
01KT6MTCJPN7SX3RJ5G5GZVPJB,Generalization or Memorization: Data Contamination and Trustworthy Evaluation for Large Language Models,362207,afd4971f53dda135d3eb97a1f31bf11a760598b43d7c632bf7ef664a46f43c7e,a9e6dddafbe946c7730ff1f6de5c0bb8cf2557b2cf5cb18f0747e1671139476d,1710,1,8,75,26188,7,6,114,34,clean
01KT6MTCMYB93FSBHY8B8Q7220,Denoising Diffusion Probabilistic Models,4383090,136c622bdacea663d8e8e7102254668caa91a5d2f0685f2b4241e2e7a534f5d8,0ca599b44e9048115e953d0b391c73d3cf6d035815840683b0de13e779664fa4,797,1,8,70,38259,30,2,419,72,clean
01KT6MTCNGRXAV75SZVYP15KGW,Decision Transformer: Reinforcement Learning via Sequence Modeling,726893,b55d0747493006d41ba518970e47796f50a88c9c8f4fec41d3458d701cf8b083,e7756be296f10a9dbe7139e9a33d7805acdbf47db47cfa77e651710d15ea6a5f,939,1,8,58,35583,6,13,375,73,clean
01KT6MTCTP5VM3EQ44Y99VHJ95,Training data-efficient image transformers & distillation through attention,407242,1376ad9e8a116bf19793df0846ba8f714678bc371496a06c309b61bf10ada3be,0a60e719d6657a5676578300ed6d1d077be36c9288dec8fb97ec79db069adb11,1042,1,7,91,31643,3,10,139,62,clean
01KT6MTCWWCW8N9KDST6GN73KW,End-to-End Object Detection with Transformers,636816,68f970e1cb76af01aa301d96da3f056fe2c95b37f3f6d8d8cf3c600330a5025e,1aba7ac8f5e41d4ef352e4ae97d334a33410588a71769d825402864f2d8349dd,1272,6,6,85,47907,16,5,171,53,clean
01KT6MTCZCDFHK6Q8C0JPQSTE6,Diffusion-LM Improves Controllable Text Generation,1509055,eff96fcaa9c186f997cc7d5d1a7444ca952980685e590060e09ae4fa9cd32498,a57e111de36a9cc72e6ad390b5c235e96735d6d0066c4768a03831aed35a06f2,1102,2,9,265,71683,6,12,331,45,clean
01KT6MTD3TVK5MBYYFR5188V89,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",92010,8ba04c1c16d196480c8f57d0f649cfc5868a19c8e187a911f8fb27ec3884fda9,50648e79bf26b797ffb8c3e8ac6f7600756d5f7b8d010b7742106140d2bb68b9,1166,1,6,27,11923,3,3,21,22,clean
01KT6MTD98JCPQKFX4597ASC1H,Direct Preference Optimization:Your Language Model is Secretly a Reward Model,1887529,6acacb033181a0da9cc06d53616063cedb8211a884acd1b937a1b271381ae7f9,b36cb96322ba1f5226627b54c7a06f37d65acf69156e4a8d7136d94064aa7178,1604,1,8,151,67554,5,11,284,51,clean
01KT6MTD9YGNGD9P9FEQK31AYB,Negative Preference Optimization: From Catastrophic Collapse to Effective Unlearning,4850292,c52c74ddbe88018ef7b2a82b6efc9a286654df1493bce5dcc5df4301ceece126,78ea4309e44ba471b0ac21fe72fe445f567e25126b9f13cb793f5829b4a92e01,1533,4,7,154,66511,17,2,679,45,clean
01KT6MTDAN07ZE2E3PGZQ6K9MR,2D-DPO: Scaling Direct Preference Optimizationwith 2-Dimensional Supervision,1704735,9f1dd7c5f8563182a6b707978d3a70bbe84b7a081823fd004994dfb105abe4e7,8a9594e8cfa08ef0c697f00b4d8bf44a00e1fa26e88632eef6af38354392a9d2,1207,2,6,226,48283,15,5,171,51,clean
01KT6MTDG4RXC86YDDD6ESMQJD,Interleaving Pre-Trained Language Models and Large Language Models for Zero-Shot NL2SQL Generation,686775,64aec35a6b530ac18e31d82b2ced1c7cfc96fcbbd915ef0613cecb2ebd04d189,b93c580b8d6bc5d3b06ade1e4e9210fca3ed5476db6e8b8c5f6bbdca3185d930,1439,10,8,132,57633,12,6,245,47,clean
01KT6MTDH4VRYA719FZ672GHS5,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,400593,850b494ec772cbdf507aadf624af6d538ed02d445bc04bb0ee908172f8d25193,a04cab4b0c1f608488433a90963f790742c42285cb7f395f113feea67797286a,1291,2,9,46,24371,8,8,154,52,clean
01KT6MTDHJWMTXACN6CG1F6B7A,EfficientNetV2: Smaller Models and Faster Training,259671,6bc77f9505f458164e298369d8ddd502c448ef2f7034518cfc8bf734b20a4a64,11b65613c680490b37a48731d9bcf4e89231c902171a35b845f94cd09f4e05cd,1301,2,8,71,29733,9,13,67,51,clean
01KT6MTDJ63BV12JDKDH8NS6S7,Mastering Atari Games with Limited Data,1071119,9f0c879e814af31d86f54c94216384bcaf403799089b9aaf296dbd3b12c453a1,d5e05d37ca020babe9f7b6a97da148c04a365e09c5fa4dbde617e79be725c628,1298,1,7,122,54068,9,10,262,50,clean
01KT6MTDRMZK887NSN5MWR74SW,The Evolved Transformer,394686,6faaf5ee6d016ec48a92d95537a0168e6591fcbe0cae000d309b959b85dc047c,3891c8497f0a35bf2dbf479882cd2bc843fec9488f663a4a4ab7d037c298f6e7,1331,3,7,79,45293,4,5,222,46,clean
01KT6MTDT5G2PK4VN7JEJ7FYF3,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,795150,fbc70e40e05b03859775fc649c2e3ee6cbdfc17bc84bdbfbcf23ff89f51be80b,c601a98c996510c85519cd9db1c8e5f3dd915a357af44e2abcbe18ebbad749a3,1448,1,7,570,66617,7,15,230,68,clean
01KT6MTDW51MJSYY0MMXPBG92Z,FEDformer: Frequency Enhanced Decomposed Transformer for Long-term Series Forecasting,1669768,a49c63751ebdb708c1c6ce98175003cd4c51cb7d1b14b17dc211ca1b854e961a,35063346d6bde6116e268180077fc5a3139c46d72feadd4f340563d79a2d5d38,1275,6,5,133,61483,8,13,429,41,clean
01KT6MTDX8HTB182F5TK1XJ8TB,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,1265801,0e2f1825ffc6e708e49e07a609897cd9f1b75e70541583fddcb662be13ced9be,951d23f3ffea4400e586687b150abdb44aae8ea69ba7d2e5202472fb2a434b05,990,3,9,720,181324,48,0,350,63,clean
01KT6MTE13PFB3QA85VJ2FJFBS,FlashDecoding++: Faster Large Language Model Inference on GPUs,593165,b74040ae8dd435f8e27b7a5656f46a295a82fc96fc327ec3f7111c632491e455,f6418529e398145bda0704026ee0a3dcd0118ffcd6dcdb00d83aac20ec5dd3d9,2100,1,8,48,30430,13,2,227,38,clean
01KT6MTE45Z9T53Y02TCRSHYTF,FNet: Mixing Tokens with Fourier Transforms,417585,ef978828a770a8643f2095142bff0208150ded1d80e31a2464933aa69beabb94,8be1330b3830fe5fdd5419c1d5d3da65e0eb9b9e6669859b3e85a01e4fafcf74,1166,4,5,69,38431,3,12,124,71,clean
01KT6MTEEGA105STEMBKV3ZZDE,Generative Agents: Interactive Simulacra of Human Behavior,415487,5c1167485c268b6274f553c2a9a81012e7a4d7e3e071bb76887824c2ad2ad3ad,dc94928d6222b48140712f94167da67530505784e4d5be770ec9bf9b9c70dde0,1816,6,9,183,99250,9,0,26,109,clean
01KT6MTEFN3SB88902RCTXJ8PG,Pay Attention to MLPs,353888,cf806b37e85119d24b78acb0349e488b445ef1388deaac7698135a195678c633,944b2eb83fed629ef78abc93870be3963f16a4f94d5e1e7b97f0905af0120a8e,815,1,6,51,24352,12,10,105,45,clean
01KT6MTEGG5Y9HPNV3B3XWEC83,Language Models are Few-Shot Learners,1221875,8e0e9293eb8544f9f554b174d0b86473cef1373d17ed4f9648e3b546a4b2ffa7,5e0c17e81e5822a401afb104b983982ff5775adb77a4e6b3340220e4f0559f85,1789,1,10,621,166261,91,21,325,144,clean
01KT6MTEZDY6JV7G5W9PQQWWSR,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,1014431,05683207b301ce43f1a0c3facd92b1e4597520ca7fe5bada5772c9024abc2108,3e5e5988570947e2cc31294b7f6f5e42120a426873c92ba3daeaca128dfbb178,1031,1,8,158,87446,21,4,320,89,clean
01KT6MTF02EDFJVF69JA1T608D,Training Verifiers to Solve Math Word Problems,186760,630fa5a703a369f2cb095b93100e64dc89a12243ef20dbbfb05f8061a120357f,7ff1b83c4a2693d6abc2c5a927443c5d01a203b631e0b82dd30c59c3588b67cf,891,1,7,65,29843,27,1,21,29,clean
01KT6MTF343PPZKK4692RV5F25,Humanoid Agents: Platform for Simulating Human-like Generative Agents,131680,db54c1b52a738d3ce6ca21018c3bbf0b0d7cba1c36d9dfbe40d1369b2fa6f228,d05fc4bed1d2e80dd25219c236b4215ea09001816a5bc5260bd7c1dbef5f7e15,1077,3,9,53,29103,4,5,5,32,clean
01KT6MTF4GBQGA1C5NA8G7MSCG,Jailbreak and Guard Aligned Language Modelswith Only Few In-Context Demonstrations,956134,99b0af3cd12de2a5ecaab0321a69dd9f604ee47219867126ce94155037a5b3e3,95f030cb1dec17e016c9e7b1baa55dbcd812ea800eee0c69014ddf224b7ca9d3,940,1,6,105,35578,1,6,151,61,clean
01KT6MTFCP5X89GSTQWV5HKTD4,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,246382,1fc00a8b46c2dbb651fea8bed346437458108ddbd320bc32c389e8799e95097a,2321e68b4c27c0464198ed6318ff861f63fe3fb1c3e9c9cfa9018b99f47fbea9,1353,1,5,68,27655,7,5,34,52,clean
01KT6MTFHJEWP1WXYC74Q2Y24S,Monte-Carlo Tree Search for Behavior Planning in Autonomous Driving,309146,aee5a9760aa0c98741ca498c27bea1df8889310b0e15274cd961e18ab4e8d485,fd05d9b5e439e925f4383f65d19811ee7b231bc6b920445e30438ade39d56869,1427,1,6,73,24010,11,1,100,17,clean
01KT6MTFJ6PF2CK239YWNZESB7,Implicit Quantile Networks for Distributional Reinforcement Learning,804785,7ea4951edb8303a0c425034ee78e82acfa3f5dcd12b433e78e2ace5fda83985f,40025fb1a579b38f1c86c0683fcd4cf06be7cf96c106afb61fd097f38eee33ed,673,4,7,88,40589,7,2,274,49,clean
01KT6MTFMY9F71GW95MMD12E6C,Jamba:A Hybrid Transformer-Mamba Language Model,246618,02f05cdaf9a924130764b2ebacd35d90e45b7850bd9ce74e2554b2efa0882000,e1720dc1c82890b0079ac40cba65f34072ba165d74252c443231607955b38c23,1458,1,7,70,27240,15,8,49,55,clean
01KT6MTFND39QKWZZGG9FJ70D3,Jamba-1.5:Hybrid Transformer-Mamba Models at Scale,204555,1bff800e041a6907a2f4dd72242dd72c48672d81cdf91ff20aef825a646b8b50,63b0ff217812d260b04f229bc31aabd2ce6881c613463a423aec4bee8eefac38,1217,1,9,63,22845,15,6,17,42,clean
01KT6MTFNVQ7CN13RAWF1EPS5Z,Knowledge Distillation: A Survey,766628,600b99055abfb26686fe6f717644c516cb601185320089a1eee8a759a6e57e02,8a85913b2ff19265a0ea13a8399f9c9dad7015aafd96d21025f953aa6a22619e,1180,4,8,135,98061,15,6,195,352,clean
01KT6MTFQA7CATA5VQGMQ4VYCE,KTO: Model Alignment as Prospect Theoretic Optimization,1450161,c7616523e4a2fda90c89213b1e8c6d72577897535e9f9f72c0e2251f2c1b6663,fd84319fb482c09ee77c23c41c78dffae001617f03408ba799c06733dac6cd97,1195,5,8,139,63163,6,6,450,58,clean
01KT6MTFQV53T2P3XVHQTNBW9X,Lag-Llama: Towards Foundation Models for Probabilistic Time Series Forecasting,1054860,297140e28441d57793d0f1e0b2a336c3433ec7d510c37bbb28a3444fa960b1c4,18496e225894c220e3d5284dfd2b4f7a9dbd228614147eea480c32a8dab1beb0,1233,18,11,93,46800,40,9,661,87,clean
01KT6MTFWJM8Y3E3Z0DY832R12,Let’s Verify Step by Step,276105,415d6b4d2804ca4ba748f6e77d99d255d308d1541853eb5aa7190f77f016ab15,bb0f57c3de9529f4971030e317ed05bbce8b6172ee397375a22036487ccf6a67,1178,1,9,82,44234,26,4,96,26,clean
01KT6MTFXVECP91V3APKFAM21Q,LLaMA-MoE: Building Mixture-of-Experts from LLaMA with Continual Pre-training,433281,b801ae9d9d9d74542ee7b6ecce250ff98328ff7f884982c7388d8fdf12c4c24d,b1a1a735d0e59f8002116238f681ed360d8a0d159bb4c08806f0b7b5ef918b25,1198,1,6,51,24452,43,3,116,59,clean
01KT6MTG3V1ZY7C7N8A76JVDHR,Visual Instruction Tuning,525655,e8dce52443c700d8a6e8ed7cd45ae17c4a1890f0f0ce73143aca45291fb3b575,30ffbc5b7d465778bc65f7ef1438cb9b5c799753eaadc9a5bb71ae94b552956f,1232,1,6,270,56639,8,16,80,63,clean
01KT6MTG5GE6F0GZJ8CJHYAS9R,Training Socially Aligned Language Models on Simulated Social Interactions,389731,52fb3f098514520fde95252d2bedf8f25bae4f7188a0dca0b48a08cb003b1edf,1fb7f0445fa9f3846f76a217885df65e91ed3ca2107016eaa4f1809ff93e0df0,850,1,6,68,39015,9,4,73,64,clean
01KT6MTG7PQA8BRH3K6A6CVXVZ,"LongBench: A Bilingual, Multitask Benchmark for Long Context Understanding",456649,9127763912b91660231567eb7ee07e522125b5788e4154d210c672d3cb3d59e8,c9fb9e808b50fe634bc0340cb78f15b6a2bb2431537513328415506ae861c2e4,1664,1,7,72,37246,5,10,68,68,clean
01KT6MTGAB7M33SE5CVZ9MP17X,Improving Factuality and Reasoning in Language Models through Multiagent Debate,161552,ae7cf96f2765ec7f992395483633069de7b3be0884f50b52a373125d2550007c,fcebe055d409e0db2dbc516857ac41ee411ec9e65933b6ddde29e15747c4d874,1316,1,5,62,26592,26,4,30,33,clean
01KT6MTGBYYJ6EDHBBS2J0MH2Z,Unified Directly Denoising for Both Variance Preserving and Variance Exploding Diffusion Models,1357786,1310c9975957dbd9dac8a92fbbc1bddddd5984bdd82536aeb4531cd6c2c5e507,c71ba8cb851c5cdc6f71b14e688c2f77521d47046d67fd33e20b708fe9bac77e,1258,1,6,105,31227,18,1,264,40,clean
01KT6MTGCFGYKRKSRMTBNQDRRB,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,1564025,d131c5f5389ed4145778ba2165f0a1601bf9e62909158a48a6dee4980ff9f84c,e0b26cfd3bee0a35d043f648c2221b970138ad39680f8f8433cb5d29d9fcd139,1670,2,6,288,90554,32,7,621,116,clean
01KT6MTGDTCYW6H9R56D9R5MHD,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,731438,4ff629e1b93db784aaaf182f6b6e0b2f6aad5c607a3035225e711dafa3afcabf,a6f2e638aabad1e084c87bea45f032e59233db12d8c1fecb4538c41ba67eaef7,993,3,7,54,40754,7,5,345,40,clean
01KT6MTGGJ5JMFZMR0WBQZA2ES,Towards Foundation Models for Materials Science: The Open MatSci ML Toolkit,220175,e2879560dba6672f95ad33c0afeab83fdf0686cfba3f1e3e0680ef83cb7af758,0f48e0278481a08a7663a0c9516c97f25ef46e738c7251e3dc8697b93627154b,1437,6,7,47,31115,7,1,53,42,clean
01KT6MTGKF4XZGJXCW4FYAJ4Q2,Systematic Single-Deletion Multiple-Substitution Correcting Codes,3675058,600a3afa54385cc2f06b47544622d0585ede8575efec40b45b93e3b8849e2de1,4091e8ed1f9b1cc53a65234d3e5bbb47090e602aa921b6ca2e151dbcead1158f,827,1,5,134,73220,2,0,1108,17,clean
01KT6MTGPQK0NTKGXBYM362HHZ,Solving Quantitative Reasoning Problems with Language Models,4716458,5842eaff446737c934bc2c6388e3b670aa1467e41a5afd9210fd513c3dae1c47,e7259efd9be9e5654bc3b48c556490b5db7f00363c602c981339a83c6f0db93c,826,14,7,356,91820,13,12,1171,47,clean
01KT6MTGV6J6SGS8W3K4ZWBJA3,MLP-Mixer: An all-MLP Architecture for Vision,594400,0e7e41c15408308b6d51da48b0c5d333c95c1273f894462c2e183870c0dfa754,c007a5363b13a8452f3576ad5e0c93e9329d3f10a4248e6668356a6933dce001,1051,1,6,63,36075,9,4,210,60,clean
01KT6MTGX6Z8JTEHCSADA75ZY8,MME: A Comprehensive Evaluation Benchmark for Multimodal Large Language Models,283203,dfada04dd4728f931c9d52986f6dcf7eecb8f4b4bc5cedede2c4b89ee6954f98,afa52a45f30d6ec2d6c4fe2791aa9876931eb4bfe4ad07beba3a89334a3b2476,1231,2,6,32,21721,4,2,0,66,clean
01KT6MTGY6WGYGEDZS7VSZPGGM,Measuring Massive MultitaskLanguage Understanding,317470,7b0727ebff0453b5dbc11bf3d21e333fee0a67db345dcd247c68b4612914f097,634e6ea08f6280e276d883bf87cfbb14ed98da3f7cff266f5373f6ee2860120a,987,3,7,355,90187,80,2,105,32,clean
01KT6MTH07K59DRT9EQNQZZPS4,Equivariant Neural Simulators for Stochastic Spatiotemporal Dynamics,2067328,dcff9b949a9a63d04711e7830f97f5b5a6376c863ad28627023210b8900213a8,352670a09b7f0066c2c4453af89c754098e0ccb33f1ee4d85e5e1e1322512f10,1335,1,7,123,71804,67,7,542,59,clean
01KT6MTH1T3HQDZMYAGNMTWECK,Unified Training of Universal Time Series Forecasting Transformers,1144514,f2ce185ae73bc7dbbe850dff377c7c022c1bed668e7a9f01c6d1118bb96ba3fa,ebc077cbea41336888638037af203c597fe7aefa620aa1e19938aaeb25635d59,1281,6,6,96,48785,21,23,363,75,clean
01KT6MTH2DTPNZ31MQ608E1CK2,mPLUG-Owl2: Revolutionizing Multi-modal Large Language Model with Modality Collaboration,736190,07919e41251724b2aa33afc39a0e6bae7a8c7ed2fa1136838522fdf1f653bb23,ec903ec5bfb424345d1fdeee35d33f3b27b26ad10f52e7753ce3def04995031f,1144,1,5,44,34921,7,16,147,75,clean
01KT6MTH5N2818G1WVAG91F6E5,Nash Learning from Human Feedback,3267873,d8cf1a5a0acba41bbd4b393244e3194eb3b57a0e3b8c85bfa0e87d5aa83c37dd,10272b209f37bf8e558edbd8aef2b35200c756631ecefe12ac49629edfa23277,1620,18,11,220,91555,2,3,823,88,clean
01KT6MTH9775H9QNCE4YVPES1J,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,1565538,5d5074eacb115f3bfd98da1bd7044037c32c4f072b9543b228a53e831a23f3cb,0e87b5bc0ad5b1a8de2434b637de4bef93feb1a3c4745c5e8a12456618d847fb,1225,1,7,72,35666,8,6,769,52,clean
